Institution,Object Number,Digital ID URL,Object Name,Title,Other Title,Other Title,Object Type,Secondary Object Type,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Date,Era,Era,Era,Era,Era,Collection,Collection,Collection,Collection,Collection,Collection,Collection,Collection,Collection,Description,Geography,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Copyright
Library of Congress,,https://www.loc.gov/item/2008675054/,,"J. Milligan, St. Louis Browns, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Milligan, Jocko (Team Member)",St. Louis Browns,St. Louis,American Association,Catcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675055/,,"J. Milligan, St. Louis Browns, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Milligan, Jocko (Team Member)",St. Louis Browns,St. Louis,American Association,Catcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675056/,,"O'Neill, St. Louis Browns, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"O'Neill, Tip (Team Member)",St. Louis Browns,St. Louis,American Association,Left Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675057/,,"O'Neill, St. Louis Browns, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"O'Neill, Tip (Team Member)",St. Louis Browns,St. Louis,American Association,Left Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675058/,,"Tip O'Neill, St. Louis Browns, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"O'Neill, Tip (Team Member)",St. Louis Browns,St. Louis,American Association,Left Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675059/,,"Yank Robinson, St. Louis Browns, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Yank Robinson (Team Member),St. Louis Browns,St. Louis,American Association,Shortstop,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675060/,,"Chris Von Der Ahe, St. Louis Browns, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Von Der Ahe, Chris (Team Member)",St. Louis Browns,St. Louis,American Association,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675061/,,"Welch, St. Louis Browns, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Welch, Curt (Team Member)",St. Louis Browns,St. Louis,American Association,Center Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2007686412/,,"Tom Daly, Chicago White Stockings, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Daly, Tom (Team Member)",Chicago White Stockings,Chicago,National League,Catcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675062/,,"Mike Griffin, Philadelphia Quakers, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Griffin, Mike (Team Member)",Philadelphia Quakers,Philadelphia,Players League,Center Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675063/,,"John Pickett, Philadelphia Quakers, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Pickett, John (Team Member)",Philadelphia Quakers,Philadelphia,Players League,Second Baseman,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675064/,,"William Hanrahan, Chicago Maroons, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Hanrahan, William (Team Member)",Chicago Maroons,Chicago,Minor League,Shortstop,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675065/,,"William Hanrahan, Chicago Maroons, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Hanrahan, William (Team Member)",Chicago Maroons,Chicago,Minor League,Shortstop,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675066/,,"Germany Long, Chicago Maroons, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Long, Germany (Team Member)",Chicago Maroons,Chicago,Minor League,Catcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675067/,,"Nicholson, Chicago Maroons, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Nicholson (Team Member),Chicago Maroons,Chicago,Minor League,Pitcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675068/,,"J. W. Nicholson, Chicago Maroons, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Nicholson, J. W. (Team Member)",Chicago Maroons,Chicago,Minor League,Pitcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675069/,,"T. C. Nicholson, Cleveland Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Nicholson, T. C. (Team Member)",Cleveland,Minor League,Second Baseman,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675070/,,"Mcclennan, Denver Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Mcclennan (Team Member),Denver,Minor League,Second Baseman,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675071/,,"Rowe, Denver Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Rowe (Team Member),Denver,Minor League,Manager,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2007686413/,,"Dell Darling, Chicago White Stockings, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Darling, Del (Team Member)",Chicago White Stockings,Chicago,National League,Catcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675072/,,"Ed Silch, Denver Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Silch, Ed (Team Member)",Denver,Minor League,Center Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675073/,,"Ed Silch, Denver Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Silch, Ed (Team Member)",Denver,Minor League,Center Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675074/,,"Ed Silch, Denver Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Silch, Ed (Team Member)",Denver,Minor League,Center Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675075/,,"Charles Brynan, Des Moines Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Brynan, Charlie (Team Member)",Des Moines,Minor League,Pitcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675076/,,"R. Emmerke, Des Moines Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Emmerke, R. (Team Member)",Des Moines,Minor League,Pitcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675077/,,"Leech Maskrey, Des Moines Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Maskrey, Leech (Team Member)",Des Moines,Minor League,Right Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675078/,,"Albert, Milwaukee Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Albert (Team Member),Milwaukee,Minor League,Shortstop,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675079/,,"Albert, Milwaukee Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Albert (Team Member),Milwaukee,Minor League,Shortstop,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675080/,,"William Fuller, Milwaukee Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Fuller, William (Team Member)",Milwaukee,Minor League,Catcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675081/,,"William Fuller, Milwaukee Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Fuller, William (Team Member)",Milwaukee,Minor League,Catcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2007686450/,,"Dell Darling, Chicago White Stockings, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Darling, Del (Team Member)",Chicago White Stockings,Chicago,National League,Catcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675082/,,"Griffith, Milwaukee Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Griffith (Team Member),Milwaukee,Minor League,Pitcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675083/,,"Griffith, Milwaukee Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Griffith (Team Member),Milwaukee,Minor League,Pitcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675084/,,"Bobby Lowe, Milwaukee Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Lowe, Bobby (Team Member)",Milwaukee,Minor League,Left Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675085/,,"Bobby Lowe, Milwaukee Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Lowe, Bobby (Team Member)",Milwaukee,Minor League,Left Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675086/,,"Patrick Pettee/Bobby Lowe, Milwaukee Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Pettee, Patrick (Team Member)",Milwaukee,Minor League,"Lowe, Bobby (Team Member)",Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675087/,,"Sun Daly, Minneapolis Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Daly, Sun (Team Member)",Minneapolis,Minor League,Left Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675088/,,"Frederick Jevne, Minneapolis Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Jevne, Frederick (Team Member)",Minneapolis,Minor League,Left Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675089/,,"George Turner, Minneapolis Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Turner, George (Team Member)",Minneapolis,Minor League,Center Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675090/,,"Wally Andrews, Omaha Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Andrews, Wally (Team Member)",Omaha,Minor League,First Baseman,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675091/,,"Clark, Omaha Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Clark (Team Member),Omaha,Minor League,Pitcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2007686451/,,"Dell Darling, Chicago White Stockings, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Darling, Del (Team Member)",Chicago White Stockings,Chicago,National League,Catcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675200/,,"Clark, Omaha Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Clark (Team Member),Omaha,Minor League,Pitcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675201/,,"Ted Kennedy, Omaha Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Kennedy, Ted (Team Member)",Omaha,Minor League,Pitcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675202/,,"Nichols, Omaha Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,Nichols (Team Member),Omaha,Minor League,Pitcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675203/,,"Bob Allen, Pittsburgh Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Allen, Bob (Team Member)",Pittsburgh,Minor League,Shortstop,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675204/,,"Mouse Glenn, Sioux City Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Glenn, Mouse (Team Member)",Sioux City,Minor League,Left Fielder,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Library of Congress,,https://www.loc.gov/item/2008675205/,,"Tony Hellman, Sioux City Team, Baseball Card Portrait",Old Judge (N172),,Memorabilia and Ephemera,Baseball Cards,Goodwin & Co.,,,,,,,,,,,,"Hellman, Tony (Team Member)",Sioux City,Minor League,Catcher,Albumen Prints,Baseball Cards,,,,,,,,,,,,,,,1887,1880s,,,,,Prints And Photographs Division,Baseball Cards,American Memory,Lot 13163,"Baseball Cards, 1887-1914",Catalog,,,,1 Photographic Print : Albumen.,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
